batter,career_strike_rate
A Ashish Reddy,137.15555555555557
A Badoni,133.79452762003098
A Chandila,63.63636363636363
A Chopra,73.27459618208518
A Choudhary,116.66666666666667
A Dananjaya,73.33333333333333
A Flintoff,107.63765541740675
A Kamboj,104.21686746987953
A Kumble,69.28571428571428
A Manohar,107.64684152198005
A Mhatre,187.3015873015873
A Mishra,84.89478235802825
A Mithun,150.0
A Mukund,92.18106995884774
A Nehra,97.1830985915493
A Nortje,112.62626262626263
A Raghuvanshi,154.5057631854698
A Singh,18.75
A Symonds,125.4454739843193
A Tomar,66.66666666666666
A Uniyal,54.54545454545454
A Zampa,65.0
AA Bilakhia,83.80716934487022
AA Chavan,120.0
AA Jhunjhunwala,92.84455410645047
AA Kulkarni,144.82758620689654
AA Noffke,94.73684210526315
AB Agarkar,108.10104529616724
AB Barath,106.63811563169165
AB Dinda,60.76923076923077
AB McDonald,105.95744680851065
AB de Villiers,142.02728687849097
AC Blizzard,151.7391304347826
AC Gilchrist,141.79937330986823
AC Thomas,147.22222222222223
AC Voges,123.92857142857143
AD Hales,133.41176470588238
AD Mascarenhas,79.07742998352553
AD Mathews,112.28591648973814
AD Nath,100.88235294117646
AD Russell,163.08538315988648
AF Milne,85.86387434554975
AG Murtaza,65.0
AG Paunikar,110.29411764705883
AJ Finch,129.75228658536585
AJ Hosein,133.89830508474577
AJ Turner,84.5528455284553
AJ Tye,136.38814016172506
AK Markram,131.2723172336027
AL Menaria,115.43885241915876
AM Nayar,105.25426909363857
AM Rahane,127.0651489862369
AN Ahmed,103.93700787401573
AN Ghosh,86.20689655172413
AP Dole,152.82051282051282
AP Majumdar,111.02088167053364
AP Tare,130.6708026366809
AR Bawne,75.64102564102564
AR Patel,122.80580511402903
AS Joseph,98.38709677419355
AS Rajpoot,71.81208053691275
AS Raut,118.36587129428777
AS Roy,130.37974683544306
AS Yadav,138.54748603351956
AT Carey,126.82926829268293
AT Rayudu,122.40827955113669
AU Rashid,152.52525252525254
AUK Pathan,211.47540983606555
Abdul Basith,100.0
Abdul Samad,138.95617705351245
Abdur Razzak,0.0
Abhishek Sharma,174.2441711503971
Abishek Porel,158.94873218582268
Akash Deep,240.9090909090909
Akash Madhwal,38.333333333333336
Aman Hakim Khan,91.91994069681245
Aniket Verma,162.25165562913907
Anirudh Singh,87.73491592482691
Ankit Sharma,112.5645438898451
Ankit Soni,32.0
Anmolpreet Singh,121.27490039840639
